read_id	mapped	blast_identity	gap_compressed_identity	aligned_columns	mismatches	inserted_bases	deleted_bases
86775a9e-c216-7b8b-c4c1-b8d7b239d7e5	true	0.950354609929078	0.9548693586698337	2049	39	24	42
8b6e5a73-4a74-0eec-fa4f-e20d0b52a7b5	false	NaN	NaN	0	0	0	0
a781e58d-d7dc-bb4e-6c02-4d7cf2e91d24	true	0.920582016270652	0.9289046396412686	26648	961	462	793
5e33cf2a-60b2-676e-b4b8-559ff4cfd81d	true	0.9770554493307839	0.980806142034549	516	5	0	7
ce6e9592-f784-8114-9a5c-27ba95c6f286	true	0.944758064516129	0.951278928136419	4803	117	61	96
9b22a55b-ed8a-7071-15a6-bddd9a616407	true	0.9360019767729182	0.9418199900546992	3890	102	50	107
cdf9c9c3-8533-2b02-6ce4-9c57bb7fb21d	true	0.9606741573033708	0.9654199011997178	2782	46	21	45
7c6fea1e-55bf-9c71-8923-73badc33bac0	true	0.9570413996189157	0.9602850438863301	11253	203	106	187
e1f8f9a1-ad47-4c2e-32a2-6abee3ae376c	true	0.9484325728065294	0.9505484290760364	5256	143	62	73
10e52db4-7b92-1426-1c6c-ef7bd7dbf5ee	true	0.9625850340136054	0.967928231006448	17548	285	125	261
21fc878f-cd1b-2946-6201-22dad94f9fa7	true	0.9212849273246168	0.9291164658634539	14399	518	278	390
ea3f5139-5727-61aa-a20f-576c67e39fdb	true	0.9660560344827587	0.9674460431654677	5465	86	46	57
d102f4c7-8c17-0097-21b7-042cb889fedb	true	0.9247883319943143	0.9330922242314648	15474	510	222	485
bdbeb369-28ac-3076-656d-0783039096e0	true	0.964017521902378	0.9713114754098361	3116	35	36	44
13f22bbd-2648-91ef-4d88-84d7338bd94e	true	0.9664302600472813	0.9675739644970415	4158	70	27	45
fff81baf-ca5b-2b91-46bc-c61e5c9eb16d	true	0.9823369565217391	0.9823369565217391	727	4	1	8
ecbc3ea3-1727-5d4a-6355-82c402725f67	true	0.9342987396084741	0.9388305039073026	3592	108	56	81
3ac05838-23e9-dd36-085b-f42b3436d062	true	0.9752211725895936	0.9800339046901488	26282	267	167	227
c8c3beb8-6d24-394c-607e-cda00a51b3c1	true	0.9496294580824456	0.9605293979854767	8350	149	113	173
