samplenames	location	geo	geo2	duration	date.month	date.start	date.end	season	particle	temperature	humid	weekend	aownership	latitude	longitude
Expo0317A_I15	Reno-NV	uswest	Westcoast	8.026273148	5	2015-05-04	2015-05-18	spring	7.616061257	23.77934084	43.03204176	weekday	P2	39.4757191	-119.7786747
Expo0324A_I15	Mike_background	uswest	Westcoast	12.92013889	5	2015-05-05	2015-05-18	spring	5.104049091	25.38949188	30.31786079	weekday	Others	37.4323403	-122.17595
chaoexpo26_I6	San_Diego-CA	uswest	Westcoast	0.610185185	5	2015-05-11	2015-05-12	spring	12.69783763	23.54259784	40.41619879	weekday	P1	32.887094	-117.24494
chaoexpo24_I6	Campus	uswest	Westcoast	4.906018519	5	2015-05-11	2015-05-17	spring	6.773426441	27.0280493	38.9607035	weekday	P1	37.40988969	-122.1593497
expo623P2-2_I6	TOOMANY	useast	Northeast	1.370023148	5	2015-05-17	2015-05-19	spring	3.442679733	25.14412434	28.06780434	weekday	P1	NA	NA
Expo0308B_I6	Campus	uswest	Westcoast	6.408912037	5	2015-05-19	2015-05-26	spring	5.217380312	24.30008291	39.08884655	weekday	P1	37.40988969	-122.1593497
chaoexpo53_I12	Mike_background	uswest	Westcoast	13.91967593	5	2015-05-18	2015-06-01	spring	5.946842832	26.97375687	32.10301748	weekday	Others	37.4323403	-122.17595
Expo0303B_I6	P2_work_home	uswest	Westcoast	11.95821759	5	2015-05-18	2015-06-02	spring	17.62796775	24.82093528	41.85671271	weekday	P2	37.4594516	-122.1636314
chaoexpo53_I6	Houston-TX	uswest	Southwest	1.350578704	5	2015-05-26	2015-05-27	spring	10.18853372	29.31056139	41.01059217	weekday	P1	29.54834436	-95.09155932
chaoexpo21_I15	Campus	uswest	Westcoast	3.168518519	5	2015-05-28	2015-05-31	spring	8.693636762	24.55504427	40.97863822	weekday	P1	37.40988969	-122.1593497
chaoexpo49_I6	New_Orleans-LA	uswest	Southwest	1.889351852	6	2015-05-31	2015-06-02	summer	7.185555011	28.1392412	48.08232051	weekday	P1	29.94850673	-90.0668881
chaoexpo43_I6	Campus	uswest	Westcoast	12.93414352	6	2015-05-28	2015-06-10	summer	6.822605614	24.53761043	43.16692647	weekday	P8	37.40988969	-122.1593497
chaoexpo53_I15	Campus	uswest	Westcoast	12.82291667	6	2015-05-28	2015-06-10	summer	9.366395884	24.71409516	45.43079881	weekday	Others	37.40988969	-122.1593497
chaoexpo46_I12	Campus	uswest	Westcoast	4.906597222	6	2015-06-04	2015-06-09	summer	10.45884934	27.7939642	40.54437525	weekend	P1	37.40988969	-122.1593497
expo021116B_6	P2_work_home	uswest	Westcoast	8.432175926	6	2015-06-02	2015-06-12	summer	10.49726851	24.78397733	43.78937738	weekday	P2	37.4594516	-122.1636314
chaoexpo49_I12	Michigan	useast	Northeast	3.329050926	6	2015-06-11	2015-06-14	summer	8.283176303	24.03274051	46.99480235	weekday	P1	43.68614401	-86.385782
chaoexpo54_I5	Campus	uswest	Westcoast	4.81412037	6	2015-06-14	2015-06-19	summer	15.22755686	24.23183251	41.5045271	weekday	P1	37.40988969	-122.1593497
chaoexpo40_I5	Boston-MA	useast	Northeast	4.184027778	6	2015-06-19	2015-06-24	summer	7.585726141	24.99486097	48.81632089	weekday	P1	42.47350702	-71.60669408
chaoexpo39_I15	Bethesda-MD	useast	Northeast	2.500578704	6	2015-06-24	2015-06-27	summer	9.780791483	30.20800332	36.38601713	weekday	P1	38.99791635	-77.09885595
chaoexpo46_I15	Campus	uswest	Westcoast	5.732291667	6	2015-06-26	2015-07-02	summer	7.243382397	29.44405316	39.5914168	weekday	P1	37.40988969	-122.1593497
expo021116B_7	China	asia	Asia	3.899884259	7	2015-07-01	2015-07-05	summer	28.55853984	30.66944592	34.49149429	weekday	P8	39.3433574	117.3616476
