"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX17380279","shotgun metagenomic sequencing of university campus sewer: STE_19","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939457","","313.34","1","3256759","983541218","STE_19","WGS","METAGENOMIC","RANDOM"
"SRX17380278","shotgun metagenomic sequencing of university campus sewer: STE_17","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939456","","383.56","1","3962010","1196527020","STE_17","WGS","METAGENOMIC","RANDOM"
"SRX17380277","shotgun metagenomic sequencing of university campus sewer: STE_15","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939455","","173.93","1","1853631","559796562","STE_15","WGS","METAGENOMIC","RANDOM"
"SRX17380276","shotgun metagenomic sequencing of university campus sewer: STE_13","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939454","","255.19","1","2607643","787508186","STE_13","WGS","METAGENOMIC","RANDOM"
"SRX17380275","shotgun metagenomic sequencing of university campus sewer: STE_12","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939453","","438.82","1","4679078","1413081556","STE_12","WGS","METAGENOMIC","RANDOM"
"SRX17380274","shotgun metagenomic sequencing of university campus sewer: STE_10","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939452","","532.69","1","5720907","1727713914","STE_10","WGS","METAGENOMIC","RANDOM"
"SRX17380273","shotgun metagenomic sequencing of university campus sewer: SEW_8","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939451","","535.27","1","5858975","1769410450","SEW_8","WGS","METAGENOMIC","RANDOM"
"SRX17380272","shotgun metagenomic sequencing of university campus sewer: SEW_6","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939450","","626.71","1","6564923","1982606746","SEW_6","WGS","METAGENOMIC","RANDOM"
"SRX17380271","shotgun metagenomic sequencing of university campus sewer: SEW_5","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939449","","615.5","1","6777934","2046936068","SEW_5","WGS","METAGENOMIC","RANDOM"
"SRX17380270","shotgun metagenomic sequencing of university campus sewer: BAS_17","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939448","","514.38","1","5166363","1560241626","BAS_17","WGS","METAGENOMIC","RANDOM"
"SRX17380269","shotgun metagenomic sequencing of university campus sewer: SEW_20","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939447","","317.77","1","3382274","1021446748","SEW_20","WGS","METAGENOMIC","RANDOM"
"SRX17380268","shotgun metagenomic sequencing of university campus sewer: SEW_19","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939446","","274.38","1","2818476","851179752","SEW_19","WGS","METAGENOMIC","RANDOM"
"SRX17380267","shotgun metagenomic sequencing of university campus sewer: SEW_17","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939445","","349.81","1","3705802","1119152204","SEW_17","WGS","METAGENOMIC","RANDOM"
"SRX17380266","shotgun metagenomic sequencing of university campus sewer: SEW_15","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939444","","556.62","1","5532540","1670827080","SEW_15","WGS","METAGENOMIC","RANDOM"
"SRX17380265","shotgun metagenomic sequencing of university campus sewer: SEW_13","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939443","","424.06","1","4588439","1385708578","SEW_13","WGS","METAGENOMIC","RANDOM"
"SRX17380264","shotgun metagenomic sequencing of university campus sewer: SEW_12","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939441","","691.66","1","7230116","2183495032","SEW_12","WGS","METAGENOMIC","RANDOM"
"SRX17380263","shotgun metagenomic sequencing of university campus sewer: FAR_12","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939442","","500.44","1","5438592","1642454784","FAR_12","WGS","METAGENOMIC","RANDOM"
"SRX17380262","shotgun metagenomic sequencing of university campus sewer: FAR_10","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939440","","516.2","1","5665458","1710968316","FAR_10","WGS","METAGENOMIC","RANDOM"
"SRX17380261","shotgun metagenomic sequencing of university campus sewer: DAR_8","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939439","","575.51","1","6215541","1877093382","DAR_8","WGS","METAGENOMIC","RANDOM"
"SRX17380260","shotgun metagenomic sequencing of university campus sewer: DAR_6","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939438","","555.51","1","5956655","1798909810","DAR_6","WGS","METAGENOMIC","RANDOM"
