+access,+submission_date,+accession,+publication_date,+last_update,Sample name,SRA identifier,Bioproject identifier,altitude,env_feature,collection_date,sample number,sample_type,env_biome,lat_lon,geo_loc_name,isolation source,host,env_material
public,2017-12-20T15:50:17.053,SAMN08216223,2018-09-20T00:00:00.000,2021-02-28T05:15:17.687,xinexpo77_I6,SRS2776311,PRJNA421162,51,air filter,2016-08-22,533,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:17.040,SAMN08216222,2018-09-20T00:00:00.000,2021-02-28T05:15:17.667,xinexpo77_I5,SRS2776673,PRJNA421162,10,air filter,2016-08-18,532,RNA,air filter,30.163287 N 120.19929 E,China:NA,Hangzhou,missing,missing,air
public,2017-12-20T15:50:17.023,SAMN08216221,2018-09-20T00:00:00.000,2021-02-28T05:15:17.646,xinexpo65_I15,SRS2776479,PRJNA421162,10,air filter,2016-08-09,531,RNA,air filter,30.163287 N 120.19929 E,China:NA,Hangzhou,missing,missing,air
public,2017-12-20T15:50:17.010,SAMN08216220,2018-09-20T00:00:00.000,2021-02-28T05:15:17.625,xinexpo69_I15,SRS2776491,PRJNA421162,51,air filter,2016-08-06,530,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.996,SAMN08216219,2018-09-20T00:00:00.000,2021-02-28T05:15:17.604,xinexpo65_I12,SRS2776492,PRJNA421162,102,air filter,2016-08-02,529,RNA,air filter,44.472239 N 73.186661 W,USA:vermont,Burlington,missing,missing,air
public,2017-12-20T15:50:16.980,SAMN08216218,2018-09-20T00:00:00.000,2021-02-28T05:15:17.583,xinexpo78_I6,SRS2776498,PRJNA421162,51,air filter,2016-07-31,528,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.966,SAMN08216217,2018-09-20T00:00:00.000,2021-02-28T05:15:17.563,xinexpo78_I5,SRS2776501,PRJNA421162,51,air filter,2016-07-24,527,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.950,SAMN08216216,2018-09-20T00:00:00.000,2021-02-28T05:15:17.542,xinexpo69_I12,SRS2776499,PRJNA421162,51,air filter,2016-07-22,526,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.936,SAMN08216215,2018-09-20T00:00:00.000,2021-02-28T05:15:17.521,xinexpo65_I6,SRS2776497,PRJNA421162,32,air filter,2016-07-17,525,RNA,air filter,28.360866 N 81.510296 W,USA:florida,Orlando,missing,missing,air
public,2017-12-20T15:50:16.923,SAMN08216214,2018-09-20T00:00:00.000,2021-02-28T05:15:17.500,xinexpo69_I6,SRS2776494,PRJNA421162,51,air filter,2016-07-12,524,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.910,SAMN08216213,2018-09-20T00:00:00.000,2021-02-28T05:15:17.479,xinexpo52_I12,SRS2776495,PRJNA421162,14,air filter,2016-07-20,523,RNA,air filter,37.5629917 N 122.3255254 W,USA:california,San Mateo,missing,missing,air
public,2017-12-20T15:50:16.893,SAMN08216212,2018-09-20T00:00:00.000,2021-02-28T05:15:17.458,xinexpo65_I5,SRS2776493,PRJNA421162,7,air filter,2016-07-10,522,RNA,air filter,36.6111478 N 121.8589246 W,USA:california,Monterey,missing,missing,air
public,2017-12-20T15:50:16.880,SAMN08216211,2018-09-20T00:00:00.000,2021-02-28T05:15:17.438,xinexpo64_I15,SRS2776496,PRJNA421162,51,air filter,2016-07-08,521,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.863,SAMN08216210,2018-09-20T00:00:00.000,2021-02-28T05:15:17.418,xinexpo32_I15,SRS2776638,PRJNA421162,51,air filter,2016-07-04,520,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.850,SAMN08216209,2018-09-20T00:00:00.000,2021-02-28T05:15:17.397,xinexpo69_I5,SRS2776640,PRJNA421162,51,air filter,2016-06-29,519,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.833,SAMN08216208,2018-09-20T00:00:00.000,2021-02-28T05:15:17.373,xinexpo73_I12,SRS2776634,PRJNA421162,12,air filter,2016-06-24,518,RNA,air filter,40.743884 N 73.983974 W,USA:new york,New York City,missing,missing,air
public,2017-12-20T15:50:16.820,SAMN08216207,2018-09-20T00:00:00.000,2021-02-28T05:15:17.352,xinexpo73_I6,SRS2776635,PRJNA421162,102,air filter,2016-06-22,517,RNA,air filter,38.99791635 N 77.09885595 W,USA:maryland,Bethesda,missing,missing,air
public,2017-12-20T15:50:16.806,SAMN08216206,2018-09-20T00:00:00.000,2021-02-28T05:15:17.311,xinexpo68_I15,SRS2776631,PRJNA421162,51,air filter,2016-06-20,516,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.790,SAMN08216205,2018-09-20T00:00:00.000,2021-02-28T05:15:17.288,xinexpo32_I12,SRS2776629,PRJNA421162,109,air filter,2016-06-17,515,RNA,air filter,32.887094 N 117.24494 W,USA:california,San Diego,missing,missing,air
public,2017-12-20T15:50:16.776,SAMN08216204,2018-09-20T00:00:00.000,2021-02-28T05:15:17.265,xinexpo14_I15,SRS2776636,PRJNA421162,51,air filter,2016-06-13,514,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.760,SAMN08216203,2018-09-20T00:00:00.000,2021-02-28T05:15:17.244,xinexpo64_I12,SRS2776637,PRJNA421162,51,air filter,2016-06-14,513,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.730,SAMN08216202,2018-09-20T00:00:00.000,2021-02-28T05:15:17.223,xinexpo73_I5,SRS2776633,PRJNA421162,51,air filter,2016-06-09,512,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.716,SAMN08216201,2018-09-20T00:00:00.000,2021-02-28T05:15:17.203,xinexpo72_I15,SRS2776632,PRJNA421162,18,air filter,2016-06-04,511,RNA,air filter,59.85625072 N 17.6406181 E,Switzerland:NA,Uppsala,missing,missing,air
public,2017-12-20T15:50:16.700,SAMN08216200,2018-09-20T00:00:00.000,2021-02-28T05:15:17.181,xinexpo64_I6,SRS2776767,PRJNA421162,51,air filter,2016-05-28,510,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.686,SAMN08216199,2018-09-20T00:00:00.000,2021-02-28T05:15:17.157,xinexpo72_I12,SRS2776771,PRJNA421162,102,air filter,2016-05-23,509,RNA,air filter,38.99791635 N 77.09885595 W,USA:maryland,Bethesda,missing,missing,air
public,2017-12-20T15:50:16.673,SAMN08216198,2018-09-20T00:00:00.000,2021-09-26T03:16:13.089,xinexpo68_I12,SRS2776766,PRJNA421162,256,air filter,2016-05-21,508,RNA,air filter,49.37030239 N 8.70576235 E,Germany:NA,Heidelberg,missing,missing,air
