chemistry	coverage	seed	arm	condition	n_reads	corrupted_base_fraction	digest	n_contigs	total_length	largest_contig	n50	wall_seconds
ont	5	42	qualmer	oracle	9	0.04436	6e1f03a6a37656d95c8e9e5c1216f944383a43f285a187a055c1018910960edb	508	65534	1096	173	0.63
ont	5	42	qualmer	constant40	9	0.04436	6e1f03a6a37656d95c8e9e5c1216f944383a43f285a187a055c1018910960edb	508	65534	1096	173	0.739
ont	5	42	qualmer	constant02	9	0.04436	6e1f03a6a37656d95c8e9e5c1216f944383a43f285a187a055c1018910960edb	508	65534	1096	173	0.706
ont	5	42	qualmer	antioracle	9	0.04436	6e1f03a6a37656d95c8e9e5c1216f944383a43f285a187a055c1018910960edb	508	65534	1096	173	0.798
ont	5	42	kmer	fasta_no_quality	9	0.04436	6e1f03a6a37656d95c8e9e5c1216f944383a43f285a187a055c1018910960edb	508	65534	1096	173	0.255
ont	5	42	qualmer	sensitivity_control_1base	9	0.04436	1e49a79e325a3ccb372cc50ccc84462301bf47ba4e090d1c75701be8e85b585c	-1	-1	-1	-1	-1.0
ont	5	123	qualmer	oracle	9	0.0444	f0a73507a946edabfba96ed3f84517a264595d0b1ee17a6f8f792c8346198c9c	530	66338	1022	173	0.771
ont	5	123	qualmer	constant40	9	0.0444	f0a73507a946edabfba96ed3f84517a264595d0b1ee17a6f8f792c8346198c9c	530	66338	1022	173	0.686
ont	5	123	qualmer	constant02	9	0.0444	f0a73507a946edabfba96ed3f84517a264595d0b1ee17a6f8f792c8346198c9c	530	66338	1022	173	0.672
ont	5	123	qualmer	antioracle	9	0.0444	f0a73507a946edabfba96ed3f84517a264595d0b1ee17a6f8f792c8346198c9c	530	66338	1022	173	0.681
ont	5	123	kmer	fasta_no_quality	9	0.0444	f0a73507a946edabfba96ed3f84517a264595d0b1ee17a6f8f792c8346198c9c	530	66338	1022	173	0.214
ont	5	123	qualmer	sensitivity_control_1base	9	0.0444	104b27700386ff7e77b9b4043b5b49a6c8a673698f0596c337bcd859652e7453	-1	-1	-1	-1	-1.0
ont	10	42	qualmer	oracle	18	0.04399	8ab7dec1e7c8ee53d72afc5efe2689d45fbe723fa97427a4843e9dcca5ca0539	1268	135465	539	132	1.771
ont	10	42	qualmer	constant40	18	0.04399	8ab7dec1e7c8ee53d72afc5efe2689d45fbe723fa97427a4843e9dcca5ca0539	1268	135465	539	132	1.667
ont	10	42	qualmer	constant02	18	0.04399	8ab7dec1e7c8ee53d72afc5efe2689d45fbe723fa97427a4843e9dcca5ca0539	1268	135465	539	132	1.935
ont	10	42	qualmer	antioracle	18	0.04399	8ab7dec1e7c8ee53d72afc5efe2689d45fbe723fa97427a4843e9dcca5ca0539	1268	135465	539	132	2.366
ont	10	42	kmer	fasta_no_quality	18	0.04399	8ab7dec1e7c8ee53d72afc5efe2689d45fbe723fa97427a4843e9dcca5ca0539	1268	135465	539	132	0.644
ont	10	42	qualmer	sensitivity_control_1base	18	0.04399	d5d846e84a05eb8c91f30b7dc425a1cfacccaa5e1e636f9d9fac6444d21007ce	-1	-1	-1	-1	-1.0
ont	10	123	qualmer	oracle	18	0.04571	02d833822b05ba8b15e1483969d277de3081a3a98251141e534434ab4c738232	1378	138791	941	129	2.551
ont	10	123	qualmer	constant40	18	0.04571	02d833822b05ba8b15e1483969d277de3081a3a98251141e534434ab4c738232	1378	138791	941	129	2.465
ont	10	123	qualmer	constant02	18	0.04571	02d833822b05ba8b15e1483969d277de3081a3a98251141e534434ab4c738232	1378	138791	941	129	1.233
ont	10	123	qualmer	antioracle	18	0.04571	02d833822b05ba8b15e1483969d277de3081a3a98251141e534434ab4c738232	1378	138791	941	129	1.886
ont	10	123	kmer	fasta_no_quality	18	0.04571	02d833822b05ba8b15e1483969d277de3081a3a98251141e534434ab4c738232	1378	138791	941	129	1.0
ont	10	123	qualmer	sensitivity_control_1base	18	0.04571	99537320c528defc77174570328c05fc22da2d60f318f583d44784b49c82402f	-1	-1	-1	-1	-1.0
ont	30	42	qualmer	oracle	54	0.0447	b3bec09045cafa93764a0cdc4ab7bd89175a9cbf35125313c344ea2fe8041b17	4069	398278	576	115	5.977
ont	30	42	qualmer	constant40	54	0.0447	b3bec09045cafa93764a0cdc4ab7bd89175a9cbf35125313c344ea2fe8041b17	4069	398278	576	115	6.067
ont	30	42	qualmer	constant02	54	0.0447	b3bec09045cafa93764a0cdc4ab7bd89175a9cbf35125313c344ea2fe8041b17	4069	398278	576	115	7.192
ont	30	42	qualmer	antioracle	54	0.0447	b3bec09045cafa93764a0cdc4ab7bd89175a9cbf35125313c344ea2fe8041b17	4069	398278	576	115	6.82
ont	30	42	kmer	fasta_no_quality	54	0.0447	b3bec09045cafa93764a0cdc4ab7bd89175a9cbf35125313c344ea2fe8041b17	4069	398278	576	115	2.364
ont	30	42	qualmer	sensitivity_control_1base	54	0.0447	3fc69ecff28c9cb296eb23c1c73ffc5c755a213fe735eac28e840c383720404e	-1	-1	-1	-1	-1.0
ont	30	123	qualmer	oracle	54	0.04467	e7f04557a41bc6dab34596a6dfe3412ca8f542e0aeb8175f53f9d7a7c0cbbaf6	4100	400171	592	115	5.403
ont	30	123	qualmer	constant40	54	0.04467	e7f04557a41bc6dab34596a6dfe3412ca8f542e0aeb8175f53f9d7a7c0cbbaf6	4100	400171	592	115	7.071
ont	30	123	qualmer	constant02	54	0.04467	e7f04557a41bc6dab34596a6dfe3412ca8f542e0aeb8175f53f9d7a7c0cbbaf6	4100	400171	592	115	6.445
ont	30	123	qualmer	antioracle	54	0.04467	e7f04557a41bc6dab34596a6dfe3412ca8f542e0aeb8175f53f9d7a7c0cbbaf6	4100	400171	592	115	7.233
ont	30	123	kmer	fasta_no_quality	54	0.04467	e7f04557a41bc6dab34596a6dfe3412ca8f542e0aeb8175f53f9d7a7c0cbbaf6	4100	400171	592	115	4.793
ont	30	123	qualmer	sensitivity_control_1base	54	0.04467	5edd2a33db24ff7892e8580dc2bdc7a69f29ef3d77b4c2b84d52aa0ebd9a058d	-1	-1	-1	-1	-1.0
