graph_id,graph_source,k,window_bases,n_observations,window_start,phase,replicate,elapsed_ms,algorithm,path_available,pair_hmm_path_valid,pair_hmm_valid,truncated,completed_columns,decoded_read_index,terminal_contract_valid,graph_step_trace_aligned,path_length_aligned,corrected_path_aligned,move_counts_aligned,path_trace_aligned,trace_complete,complete,full_decode,frontier_area,edge_expansions,peak_frontier
fixed_toy_k31_raw,raw_fixed_toy,31,250,220,1,measurement,1,129.659334,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,250,220,1,measurement,2,127.880209,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,250,220,1,measurement,3,113.224209,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,250,220,1,measurement,4,126.403166,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,250,220,1,measurement,5,122.229959,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,500,470,1,warmup,0,131.534041,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,500,470,1,measurement,1,119.840667,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,500,470,1,measurement,2,138.371125,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,500,470,1,measurement,3,121.881584,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,500,470,1,measurement,4,121.5735,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,500,470,1,measurement,5,130.121417,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,1200,1170,1,warmup,0,133.756375,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,1200,1170,1,measurement,1,125.295,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,1200,1170,1,measurement,2,132.683917,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,1200,1170,1,measurement,3,132.444833,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,1200,1170,1,measurement,4,116.78925,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,1200,1170,1,measurement,5,140.116541,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,250,220,1,warmup,0,122.204791,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,250,220,1,measurement,1,124.348,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,250,220,1,measurement,2,122.24825,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,250,220,1,measurement,3,127.236958,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,250,220,1,measurement,4,122.856,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,250,220,1,measurement,5,123.595375,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,500,470,1,warmup,0,127.636583,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,500,470,1,measurement,1,136.977708,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,500,470,1,measurement,2,120.37525,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,500,470,1,measurement,3,132.886625,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,500,470,1,measurement,4,125.250125,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,500,470,1,measurement,5,130.521,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,1200,1170,1,warmup,0,125.447084,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,1200,1170,1,measurement,1,130.346375,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,1200,1170,1,measurement,2,133.624792,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,1200,1170,1,measurement,3,119.245291,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,1200,1170,1,measurement,4,124.142917,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,1200,1170,1,measurement,5,130.748792,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
